               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023286,            0.016702,                   0,             0.98637,             0.89157,             0.95703,             0.78714,            0.020528,           0.0075457,                   0,              0.0784,              0.0024,              0.0024
                   1,             0.02444,            0.016219,                   0,                   1,             0.93833,             0.96733,             0.80795,            0.019121,           0.0064204,                   0,            0.055803,            0.004803,            0.004803
                   2,            0.027777,            0.016532,                   0,             0.95262,             0.96906,             0.98268,             0.70537,            0.025976,           0.0074031,                   0,            0.033107,            0.007107,            0.007107
                   3,            0.029822,            0.016331,                   0,             0.98171,             0.91566,             0.97793,              0.6756,            0.026184,           0.0075068,                   0,            0.010312,           0.0093119,           0.0093119
                   4,            0.030641,            0.016351,                   0,             0.96286,             0.93707,             0.97818,             0.69377,            0.026781,           0.0070565,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.030564,             0.01678,                   0,              0.9515,             0.94555,             0.98125,             0.70302,            0.024455,           0.0073771,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.028651,            0.016716,                   0,             0.97371,             0.96386,             0.98344,             0.74219,            0.023009,           0.0075624,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.029307,            0.016678,                   0,             0.94138,             0.92771,             0.97413,             0.69713,            0.022492,           0.0078664,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.029046,            0.016887,                   0,             0.91959,             0.96457,             0.97419,             0.71887,             0.02232,           0.0084975,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.028078,            0.015307,                   0,             0.96284,             0.93666,             0.97938,             0.70172,            0.023117,           0.0080264,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.02718,            0.016666,                   0,             0.97522,             0.85542,             0.95288,             0.67192,            0.025058,           0.0089893,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.028692,            0.016961,                   0,             0.99404,             0.86747,             0.93259,             0.70467,            0.022612,           0.0081034,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.02851,            0.017105,                   0,             0.98702,             0.91608,             0.96893,             0.70041,            0.023191,           0.0073419,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.026974,            0.015054,                   0,             0.96287,              0.9373,             0.97769,             0.72137,            0.021529,           0.0076742,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.026687,            0.015333,                   0,             0.98438,             0.92771,             0.98212,             0.72052,            0.022762,           0.0076008,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.026812,            0.015453,                   0,              0.9751,             0.94373,             0.97459,             0.72262,            0.021273,           0.0074625,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.025939,            0.014974,                   0,             0.98764,             0.96262,             0.98425,             0.73783,            0.020299,           0.0064359,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.024347,            0.014801,                   0,                   1,             0.88792,             0.95842,             0.71112,            0.021957,           0.0084605,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.026473,            0.016053,                   0,             0.99748,             0.93976,             0.97767,             0.75004,            0.022582,           0.0069916,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.025947,            0.015284,                   0,             0.99665,             0.93976,             0.98155,             0.78495,            0.018568,            0.006573,                   0,            0.006436,            0.006436,            0.006436
                  20,              0.0248,            0.015032,                   0,                   1,             0.95391,             0.97838,             0.77261,             0.01821,           0.0062943,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.024013,            0.014641,                   0,                   1,             0.95053,             0.98143,             0.77905,            0.018518,           0.0059395,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.023699,            0.013835,                   0,             0.97546,              0.9759,             0.98337,             0.80548,            0.018864,           0.0063708,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.02466,             0.01458,                   0,             0.98776,             0.97267,             0.98348,             0.82866,            0.016492,           0.0058408,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.023503,            0.014302,                   0,             0.99492,             0.96386,             0.98632,               0.806,            0.017845,           0.0055504,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.022337,            0.013997,                   0,             0.99591,              0.9759,             0.98576,             0.80083,            0.016918,           0.0059582,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.02182,            0.013095,                   0,             0.99938,              0.9759,             0.99192,             0.84864,            0.014895,           0.0053883,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.022249,            0.012813,                   0,                   1,             0.95069,             0.98577,              0.8229,            0.017371,           0.0059528,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.020651,            0.012537,                   0,                   1,             0.96063,              0.9866,             0.84413,             0.01519,           0.0059694,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.02075,            0.012324,                   0,              0.9758,             0.97165,             0.98715,             0.83639,            0.015438,           0.0059021,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.020414,            0.011979,                   0,                   1,             0.95956,             0.99309,               0.857,            0.014234,           0.0051841,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.021227,            0.013105,                   0,             0.97555,             0.96137,             0.98759,             0.80935,            0.016234,           0.0058085,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.020146,             0.01294,                   0,              0.9646,             0.98503,             0.98817,             0.85554,            0.014536,            0.005092,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.020111,            0.011309,                   0,             0.97892,             0.96386,             0.99314,              0.8366,            0.014423,           0.0058186,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.019239,            0.011582,                   0,             0.97199,             0.98795,             0.99383,              0.8619,            0.013094,           0.0053304,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.01949,            0.012143,                   0,             0.97612,             0.98489,             0.99406,             0.88005,            0.013558,           0.0049841,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.019448,            0.011634,                   0,             0.99223,              0.9759,              0.9943,             0.87612,            0.013575,           0.0049306,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.018673,            0.012481,                   0,             0.98669,             0.98795,             0.99388,              0.8825,            0.013062,           0.0044835,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.018634,            0.011586,                   0,             0.98805,              0.9759,             0.99294,             0.88037,            0.013597,           0.0048006,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018635,            0.012333,                   0,             0.99688,             0.98795,             0.99365,             0.88985,            0.012219,           0.0045003,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.017332,            0.011251,                   0,             0.98788,             0.98241,             0.99011,             0.91415,            0.011419,           0.0040842,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017291,            0.011477,                   0,                   1,             0.97168,              0.9897,             0.90233,            0.011248,            0.004143,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017969,            0.011474,                   0,             0.99748,             0.98795,             0.98669,             0.90293,            0.011466,           0.0041085,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017482,            0.011593,                   0,             0.98792,             0.98795,             0.98825,             0.91197,            0.010991,           0.0040069,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.01778,             0.01169,                   0,             0.98744,             0.98795,              0.9938,             0.90476,            0.011279,           0.0039003,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017397,            0.011789,                   0,             0.98792,             0.98551,              0.9939,              0.9048,            0.011124,           0.0037761,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.016993,            0.011042,                   0,             0.98793,              0.9863,               0.994,             0.91379,            0.010826,           0.0039078,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.017129,            0.011938,                   0,             0.99519,              0.9759,             0.99341,              0.9141,            0.010458,           0.0039631,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.017076,            0.011316,                   0,             0.99731,              0.9759,             0.99362,             0.91013,            0.010324,           0.0037671,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.017217,            0.010697,                   0,             0.99578,              0.9759,             0.99362,             0.91681,            0.010354,           0.0037216,                   0,            0.000496,            0.000496,            0.000496
